Idfrom,Idfrom Description,Brand Optins,Mobile Optins
5,Email d'affiliation Reworld,81 940,71 508
0,Trafic non tagué,4 014,3 225
"1,001",Facebooks Ads,10 819,9 812
2,Share natif,2 662,2 877
"1,002",Instagram ads,5 391,5 022
3,Email d'acquisition CRM,12 434,7 603
1,Email de viral,2 087,1 866
9,Email de relance D2C,2 533,1 611
10,Email relai Déstockage,1 564,1 143
8,Facebook Share (desktop),73,62
11,Email relai Home & Cook,381,295
12,Email relais Tefal boutique,25,13
7,Push notification,0,0
